Track ID,Discogs Genre
TRAPPUJ128F931B3D1,[u'Rock']
TRAPPPE128EF353210,[]
TRAPPUL128F9312995,"[u'Folk, World, & Country']"
TRAPPEH128F4294772,[]
TRAPPYG128F930BAB9,[u'Blues']
TRAPPVC128F930AD58,"[u'Jazz', u'Latin', u'Folk, World, & Country']"
TRAPPUN128F429400B,[u'Rock']
TRAPMMM128F932E204,[u'Hip Hop']
TRAPMZJ128F42AFC5C,[u'Rock']
TRAPMRV128F92F5F4C,[u'Rock']
TRAPMQO128F92FCD49,[u'Hip Hop']
TRAPMFR128F9316841,[u'Blues']
TRAPMTY128F1459DA1,"[u'Folk, World, & Country']"
TRAPMEK128F92E9DEF,"[u'Folk, World, & Country']"
TRAPMAE128F93135D3,"[u'Folk, World, & Country']"
TRAPMCS128F92E88C5,"[u'Rock', u'Folk, World, & Country']"
TRAPMRB128E078E21E,"[u'Electronic', u'Hip Hop']"
TRAPMHX12903CB682B,[u'Electronic']
TRAPMIV128F422F1D3,[u'Rock']
TRAPMTM128F425B4E5,[u'Rock']
TRAPMYO128F14903F5,[u'Electronic']
TRAPMHX128EF366392,"[u'Folk, World, & Country']"
TRAPFCP128F9307630,[u'Pop']
TRAPFDK128F426F284,[u'Reggae']
TRAPFIP128F42AC31E,"[u'Hip Hop', u'Funk / Soul']"
TRAPFJD12903CE20A7,[u'Rock']
TRAPFAQ128F14A050F,[u'Electronic']
TRAPFGD128F4274B46,[u'Pop']
TRAPFLR128F92FAB4D,"[u'Folk, World, & Country']"
TRAPFXX128E0785EBA,"[u'Funk / Soul', u'Pop']"
TRAPFKF12903CC2A26,[]
TRAPFFR12903CDB202,"[u'Folk, World, & Country']"
TRAPFPH128F42269F6,"[u'Rock', u'Pop']"
TRAPFBJ128F9308EE6,[u'Rock']
TRAPFCP128F92D772E,[]
TRAPFRM128F933A19B,"[u'Rock', u'Latin']"
TRAPJJA12903CB022B,"[u'Electronic', u'Reggae']"
TRAPJBL12903CE2AA7,[u'Electronic']
TRAPJTU128F147A054,[u'Electronic']
TRAPJFL128F42AA7B4,[u'Rock']
TRAPJYG128F9320780,"[u'Rock', u'Pop']"
TRAPJLL128F92EC0E1,"[u'Rock', u'Pop']"
TRAPJJR128F92E132D,[u'Blues']
TRAPJPD128F14572B3,[u'Rock']
TRAPDZT128F42A8498,[u'Electronic']
TRAPDZK128F92F6527,"[u'Folk, World, & Country']"
TRAPDOI128F9327982,"[u'Electronic', u'Rock']"
TRAPDUL12903CC4287,"[u'Rock', u'Blues']"
TRAPDIO128F933C680,[u'Rock']
TRAPDCB128F42824A6,"[u'Electronic', u'Pop']"
TRAPDXB128F42AF71A,[u'Funk / Soul']
TRAPDQG128F93018C0,[u'Rock']
TRAPDNS128F425F97E,"[u'Rock', u'Latin', u'Pop']"
TRAPDIH128F426DE71,"[u'Electronic', u'Rock', u'Pop']"
TRAPDHL128F145401B,[]
TRAPWTX128F428FE47,"[u'Classical', u'Stage & Screen']"
TRAPWSV128F4294DF4,[]
TRAPWGW128F92F8F7C,[u'Jazz']
TRAPWXY128F14B0901,[u'Rock']
TRAPWZW128F4292E66,"[u'Hip Hop', u'Funk / Soul']"
TRAPWYA12903CAF95F,[]
TRAPWMY128F4275285,"[u'Electronic', u'Pop']"
TRAPZYB128F9309217,"[u'Hip Hop', u'Latin']"
TRAPZQI128F428CF18,[u'Rock']
TRAPZJQ128F428A022,[u'Rock']
TRAPZAW128F930FEEF,"[u'Rock', u'Folk, World, & Country']"
TRAPZOH128F92E7FD6,"[u'Pop', u'Folk, World, & Country']"
TRAPZTV128F92CAA4E,[u'Hip Hop']
TRAPZYO128EF3519A2,[u'Hip Hop']
TRAPZJV12903CCF414,"[u'Non-Music', u""Children's"", u'Stage & Screen']"
TRAPZZJ12903CC5190,[]
TRAPZDX12903D05CCB,[u'Pop']
TRAPZLI128F92DB0CD,[u'Hip Hop']
TRAPZQV128F9313F84,[u'Rock']
TRAPSLR128F4258D62,[]
TRAPSEQ128F932E8F2,[u'Electronic']
TRAPSBI128F149D9EC,"[u'Folk, World, & Country']"
TRAPSUH12903CB1059,"[u'Rock', u'Pop', u'Stage & Screen']"
TRAPSIJ128F1498B7E,"[u'Jazz', u'Pop']"
TRAPSHW128F14560A6,"[u'Rock', u'Blues', u'Folk, World, & Country']"
